number_of_trades,ISIN,instrumentId,instrumentType,currency,longDescription,maturityTypeValue,detailedCouponValue,calculationTypeValue,firstCouponDate,penultimateCouponDate,maturityDate,earliestMaturityDate,paymentDate,interestAccDate,parAmount,minPiece,minIncrement,marketSectorValue,firstConformingDate,lastConformingDate,conformantPeriodId,couponCurrency,endOfMonthRule,roundingForCoupon,settlementDays,lookupCouponTypeValue,freqValue,YieldConvType,dayCount,dayCountDiscount,dayCountFunding,coupon,interestRateIndexId,inflationIndexId,floatingIndexSpread,floatingIndexSideId,freqId,nextRefixDate,isIndexLinked,indexRatio,couponConventionId,IR_INDEX_DESC,IR_INDEX_NAME,frequency,INF_INDEX_DESC,INF_INDEX_NAME,description,resetIndexValue
1,DD0194695083,15396302,BOND,CHF,BALOISE HOLDING AG 2.000000 12Oct2022,AT MATURITY,FIXED,GERMAN BONDS,12/10/2013 00:00,12/10/2021 00:00,12/10/2022 00:00,12/10/2022 00:00,12/10/2012 00:00,12/10/2012 00:00,5000,5000,5000,Corp,12/10/2012 00:00,12/10/2022 00:00,11808716,CHF,Y,-1,2,FIXED,ANNUAL,SIA,GERMAN30/360,GERMAN30/360,ACT/360,2,,,,,,,,,,,,,,,,
1,DE0001141794,24155431,BOND,EUR,BUNDESOBLIGATION 0 05Apr2024 179,AT MATURITY,FIXED,GERMAN BONDS,05/04/2020 00:00,05/04/2023 00:00,05/04/2024 00:00,05/04/2024 00:00,25/01/2019 00:00,25/01/2019 00:00,0.01,0.01,0.01,Govt,25/01/2019 00:00,05/04/2024 00:00,20253809,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
2,DE0001141760,23249870,BOND,EUR,BUNDESOBLIGATION 0 07Oct2022 176,AT MATURITY,FIXED,GERMAN BONDS,07/10/2018 00:00,07/10/2021 00:00,07/10/2022 00:00,07/10/2022 00:00,07/07/2017 00:00,07/07/2017 00:00,0.01,0.01,0.01,Govt,07/07/2017 00:00,07/10/2022 00:00,19557850,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
9,DE0001141752,22929195,BOND,EUR,BUNDESOBLIGATION 0 08Apr2022 175,AT MATURITY,FIXED,GERMAN BONDS,08/04/2018 00:00,08/04/2021 00:00,08/04/2022 00:00,08/04/2022 00:00,03/02/2017 00:00,03/02/2017 00:00,0.01,0.01,0.01,Govt,03/02/2017 00:00,08/04/2022 00:00,19203326,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
8,DE0001141737,22226114,BOND,EUR,BUNDESOBLIGATION 0 09Apr2021 173,AT MATURITY,FIXED,GERMAN BONDS,09/04/2017 00:00,09/04/2020 00:00,09/04/2021 00:00,09/04/2021 00:00,05/02/2016 00:00,05/02/2016 00:00,0.01,0.01,0.01,Govt,05/02/2016 00:00,09/04/2021 00:00,18381963,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
9,DE0001141810,25567575,BOND,EUR,BUNDESOBLIGATION 0 11Apr2025 181,AT MATURITY,FIXED,GERMAN BONDS,11/04/2021 00:00,11/04/2024 00:00,11/04/2025 00:00,11/04/2025 00:00,31/01/2020 00:00,31/01/2020 00:00,0.01,0.01,0.01,Govt,31/01/2020 00:00,11/04/2025 00:00,21554244,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
1,DE0001141786,24129570,BOND,EUR,BUNDESOBLIGATION 0 13Oct2023 178,AT MATURITY,FIXED,GERMAN BONDS,13/10/2019 00:00,13/10/2022 00:00,13/10/2023 00:00,13/10/2023 00:00,27/07/2018 00:00,27/07/2018 00:00,0.01,0.01,0.01,Govt,27/07/2018 00:00,13/10/2023 00:00,20235898,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
7,DE0001141711,21585719,BOND,EUR,BUNDESOBLIGATION 0 17Apr2020 171,AT MATURITY,FIXED,GERMAN BONDS,17/04/2016 00:00,17/04/2019 00:00,17/04/2020 00:00,17/04/2020 00:00,23/01/2015 00:00,23/01/2015 00:00,0.01,0.01,0.01,Govt,23/01/2015 00:00,17/04/2020 00:00,17694516,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
2,DE0001141802,24236295,BOND,EUR,BUNDESOBLIGATION 0 18Oct2024 180,AT MATURITY,FIXED,GERMAN BONDS,18/10/2020 00:00,18/10/2023 00:00,18/10/2024 00:00,18/10/2024 00:00,05/07/2019 00:00,05/07/2019 00:00,0.01,0.01,0.01,Govt,05/07/2019 00:00,18/10/2024 00:00,20307350,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
4,DE0001141703,21385913,BOND,EUR,BUNDESOBLIGATION 0.250000 11Oct2019 170,AT MATURITY,FIXED,GERMAN BONDS,11/10/2015 00:00,11/10/2018 00:00,11/10/2019 00:00,11/10/2019 00:00,05/09/2014 00:00,05/09/2014 00:00,0.01,0.01,0.01,Govt,05/09/2014 00:00,11/10/2019 00:00,17485865,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.25,,,,,,,,,,,,,,,,
20,DE0001141729,21852191,BOND,EUR,BUNDESOBLIGATION 0.250000 16Oct2020 172,AT MATURITY,FIXED,GERMAN BONDS,16/10/2016 00:00,16/10/2019 00:00,16/10/2020 00:00,16/10/2020 00:00,03/07/2015 00:00,03/07/2015 00:00,0.01,0.01,0.01,Govt,03/07/2015 00:00,16/10/2020 00:00,17972235,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.25,,,,,,,,,,,,,,,,
6,DE0001141695,21230569,BOND,EUR,BUNDESOBLIGATION 0.500000 12Apr2019 169,AT MATURITY,FIXED,GERMAN BONDS,12/04/2015 00:00,12/04/2018 00:00,12/04/2019 00:00,12/04/2019 00:00,09/05/2014 00:00,12/04/2014 00:00,0.01,0.01,0.01,Govt,12/04/2014 00:00,12/04/2019 00:00,17315657,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.5,,,,,,,,,,,,,,,,
3,DE0001141687,21057043,BOND,EUR,BUNDESOBLIGATION 1.000000 22Feb2019 168,AT MATURITY,FIXED,GERMAN BONDS,22/02/2015 00:00,22/02/2018 00:00,22/02/2019 00:00,22/02/2019 00:00,17/01/2014 00:00,17/01/2014 00:00,0.01,0.01,0.01,Govt,17/01/2014 00:00,22/02/2019 00:00,16880188,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1,,,,,,,,,,,,,,,,
67,DE0001102408,22536038,BOND,EUR,BUNDESREPUB. DEUTSCHLAND 0 15Aug2026,AT MATURITY,FIXED,GERMAN BONDS,15/08/2017 00:00,15/08/2025 00:00,15/08/2026 00:00,15/08/2026 00:00,15/07/2016 00:00,15/07/2016 00:00,0.01,0.01,0.01,Govt,15/07/2016 00:00,15/08/2026 00:00,18728054,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
30,DE0001102473,24237169,BOND,EUR,BUNDESREPUB. DEUTSCHLAND 0 15Aug2029,AT MATURITY,FIXED,GERMAN BONDS,15/08/2020 00:00,15/08/2028 00:00,15/08/2029 00:00,15/08/2029 00:00,12/07/2019 00:00,12/07/2019 00:00,0.01,0.01,0.01,Govt,12/07/2019 00:00,15/08/2029 00:00,20308049,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
